Country,Latitude,Longitude
USA,37.0902,-95.7129
Spain,40.4637,-3.7492
China,35.8617,104.1954
Kenya,-1.286389,36.817223
Canada,56.1304,-106.3468
Japan,36.2048,138.2529
Morocco,31.7917,-7.0926
Argentina,-38.4161,-63.6167
Germany,51.1657,10.4515
Australia,-25.2744,133.7751
Italy,41.8719,12.5674
South Africa,-30.5595,22.9375
Brazil,-14.2350,-51.9253
India,20.5937,78.9629
Russia,61.5240,105.3188
France,46.6034,1.8883
South Korea,35.9078,127.7669
Netherlands,52.1326,5.2913
Nigeria,9.0820,8.6753
UK,55.3781,-3.4360
Sweden,60.1282,18.6435
Mexico,23.6345,-102.5528
Egypt,26.8206,30.8025
Turkey,38.9637,35.2433
